"Remote Data: Time (s)","Remote Data: Temperature (°C)","Remote Data: Temperature 2 (°C)"
110,46.4623034206,45.9300316114
111,46.4623034206,45.902592431
112,46.4346312146,45.8751650802
113,46.4069712903,45.8460364561
114,46.4069712903,45.8186334313
115,46.3775960513,45.791242166
116,46.3775960513,45.7638626371
117,46.349961383,45.7347847219
118,46.3223389237,45.7347847219
119,46.3223389237,45.7074293276
120,46.2930034116,45.7074293276
121,46.2930034116,45.6510456476
122,46.2930034116,45.6510456476
123,46.2378208423,45.6237259112
124,46.2378208423,45.5964177722
125,46.210247739,45.5691212082
126,46.210247739,45.5401312664
127,46.1809645628,45.5401312664
128,46.1809645628,45.5128585044
129,46.1534163685,45.4855972486
130,46.1534163685,45.4855972486
131,46.1258802155,45.4294071511
132,46.0983560804,45.4294071511
133,46.0983560804,45.4021809933
134,46.0691248287,45.373265708
135,46.0691248287,45.34606307
136,46.0416254069,45.3188718015
137,46.0141379316,45.3188718015
138,46.0141379316,45.2916918804
139,45.984945553,45.2628256228
140,45.984945553,45.2628256228
141,45.9574826443,45.2085237286
142,45.9574826443,45.2085237286
143,45.9574826443,45.1796941743
144,45.902592431,45.1796941743
145,45.902592431,45.1254611626
146,45.902592431,45.1254611626
147,45.8734512631,45.0983614536
148,45.8734512631,45.0695802501
149,45.8460364561,45.0695802501
150,45.8460364561,45.0425035529
151,45.8460364561,45.0425035529
152,45.8186334313,44.9866929724
153,45.791242166,44.9866929724
154,45.7621518057,44.9866929724
155,45.7621518057,44.9596502737
156,45.7621518057,44.9039096054
157,45.7347847219,44.9039096054
158,45.7347847219,44.8769007021
159,45.7347847219,44.8499027904
160,45.7074293276,44.8499027904
161,45.7074293276,44.8499027904
162,45.678377004,44.8229158487
163,45.6510456476,44.7672898351
164,45.6510456476,44.7672898351
165,45.6237259112,44.7403363557
166,45.6237259112,44.7403363557
167,45.6237259112,44.711710208
168,45.5964177722,44.6292680566
169,45.5674155568,44.6292680566
170,45.5674155568,44.6292680566
171,45.5674155568,44.5754829743
172,45.5401312664,44.5486065736
173,45.5401312664,44.5486065736
174,45.5401312664,44.5486065736
175,45.5128585044,44.5200621565
176,45.5128585044,44.4932078677
177,45.4855972486,44.4663642677
178,45.4855972486,44.437854631
179,45.4566447464,44.437854631
180,45.4294071511,44.4110330105
181,45.4294071511,44.4110330105
182,45.4294071511,44.3842220146
183,45.4294071511,44.3842220146
184,45.4021809933,44.3289578014
185,45.4021809933,44.3289578014
186,45.373265708,44.302179214
187,45.34606307,44.302179214
188,45.34606307,44.302179214
189,45.34606307,44.2469816425
190,45.3188718015,44.2469816425
191,45.3188718015,44.2202352691
192,45.3188718015,44.2202352691
193,45.2916918804,44.1934993726
194,45.2916918804,44.165103939
195,45.2916918804,44.165103939
196,45.2916918804,44.165103939
197,45.2628256228,44.1116856468
198,45.2628256228,44.1116856468
199,45.2356690358,44.084992101
